"CANCION","GRUPO/ARTISTA","GENERO","PUNTUACION","IMPACTO SOCIAL","TIPO DE IMPACTO","DESCRIPCION","AÑO"
"LA PALOMA","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","9","ECONOMICO","D_194","1982"
"BESAME MUCHO","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","10","POLITICO","D_195","1983"
"BELLA VIA","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","8","ECONOMICO","D_196","1984"
"STRANGERS IN PARADISE = EXTRAÑOS EL EL PARAISO","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","9","AMBIENTAL","D_197","1985"
"I'VE GOT YOU UNDER MY SKIN = TE LLEVO BAJO MI PIEL","JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA – JAIME DELGADO APARICIO Y SU ORQUESTA CONTEMPORANEA","FUNK/SOUL","970","3","ECONOMICO","D_198","1986"
"LA VUELTA","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","6","SOCIAL","D_199","1967"
"TE VI LLORAR","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","8","RELIGION","D_200","1967"
"ES LA LLUVIA QUE CAE","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","1","EDUCATIVO","D_201","1967"
"TERNURA","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","4","ECONOMICO","D_202","1967"
"SE QUE NO VENDRAS","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","8","ECONOMICO","D_203","1967"
"LLORA CONMIGO","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","8","CULTURAL","D_204","1967"
"TE PUEDES IR EN PAZ","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","8","EDUCATIVO","D_205","1967"
"POR TI ESTOY SUFRIENDO","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","5","AMBIENTAL","D_206","1967"
"LA MOTO","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","6","CULTURAL","D_207","1967"
"VIVO SIN TI","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","8","ECONOMICO","D_208","1967"
"NO COMETERE ESE ERROR","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","7","CULTURAL","D_209","1967"
"PALABRA DE AMOR","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","714","6","EDUCATIVO","D_210","1967"
"LA BALA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","5","EDUCATIVO","D_211","1972"
"NEGRA MALA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","5","SOCIAL","D_212","1972"
"NO ME LLORES MAS","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","8","CULTURAL","D_213","1972"
"BAILA FLAQUITA BAILA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","9","RELIGION","D_214","1972"
"CUMBIA LORENTANA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","7","CULTURAL","D_215","1972"
"CON LLANTO DE COCODRILO","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","3","POLITICO","D_216","1972"
"COMO CAMBIAN LOS TIEMPOS","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","7","CULTURAL","D_217","1972"
"CUMBIA INDIA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","9","SOCIAL","D_218","1972"
"GOZA CHOLA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","8","CULTURAL","D_219","1972"
"GUAJIRA POP","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","8","AMBIENTAL","D_220","1972"
"UNA CHICA ENAMORADA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","3","AMBIENTAL","D_221","1972"
"TU ME QUIERES DI?","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","8","POLITICO","D_222","1972"
"ROSITA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","3","CULTURAL","D_223","1972"
"VANIDAD","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","7","POLITICO","D_224","1972"
"MAMBO BATIRI","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","8","CULTURAL","D_225","1972"
"MI GRAN NOCHE","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","8","CULTURAL","D_226","1972"
"LA VIEJA","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","1","CULTURAL","D_227","1972"
"TEMA DE MASH","ENRIQUE LYNCH Y SU CONJUNTO – COMO CAÑON","FUNK/SOUL","872","5","ECONOMICO","D_228","1972"
"CARNAVAL DE AREQUIPA","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","8","AMBIENTAL","D_229","1970"
"AMOR EN PRIMAVERA","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","7","CULTURAL","D_230","1970"
"FELIZ ENCUENTRO","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","5","CULTURAL","D_231","1970"
"LA CHICA ALEGRE","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","8","EDUCATIVO","D_232","1970"
"BOOGALOO DEL PERRO","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","7","POLITICO","D_233","1970"
"HUASCARAN","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","3","SOCIAL","D_234","1970"
"VALICHA","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","4","POLITICO","D_235","1970"
"EL CRIOLLITO","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","9","EDUCATIVO","D_236","1970"
"VOLANDO CON DESTELLOS","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","8","ECONOMICO","D_237","1970"
"LA ARDILLA ENAMORADA","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","9","ECONOMICO","D_238","1970"
"MARTHA","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","9","AMBIENTAL","D_239","1970"
"EN TU DIA","LOS DESTELLOS – EN LA CUMBRE","FUNK/SOUL","890","10","AMBIENTAL","D_240","1970"
"LA VUELTA","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","10","CULTURAL","D_241","1970"
"TE VI LLORAR","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","10","SOCIAL","D_242","1970"
"ES LA LLUVIA QUE CAE","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","5","RELIGION","D_243","1970"
"TERNURA","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","4","EDUCATIVO","D_244","1970"
"SE QUE NO VENDRAS","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","5","ECONOMICO","D_245","1970"
"LLORA CONMIGO","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","10","ECONOMICO","D_246","1970"
"TE PUEDES IR EN PAZ","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","9","CULTURAL","D_247","1970"
"POR TI ESTOY SUFRIENDO","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","7","ECONOMICO","D_248","1970"
"LA MOTO","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","9","EDUCATIVO","D_249","1970"
"VIVO SIN TI","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","8","ECONOMICO","D_250","1970"
"NO COMETERE ESE ERROR","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","7","ECONOMICO","D_251","1970"
"PALABRA DE AMOR","LOS SILVERTON'S – LA VUELTA","FUNK/SOUL","734","2","POLITICO","D_252","1970"
"LINDA CHIQUILINA","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","8","EDUCATIVO","D_253","1975"
"PASEANDO POR LA ALAMEDA","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","6","POLITICO","D_254","1975"
"A LOS BOSQUES ME INTERNO YO","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","8","RELIGION","D_255","1975"
"CONCIERTO PARA UNA SOLA VOZ","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","1","CULTURAL","D_256","1975"
"APURANDO EL PASO","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","8","ECONOMICO","D_257","1975"
"DULCE AMOR","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","5","ECONOMICO","D_258","1975"
"BAILANDO CON MI NENA","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","5","EDUCATIVO","D_259","1975"
"TORMENTOS","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","6","SOCIAL","D_260","1975"
"JUGUETEANDO","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","9","ECONOMICO","D_261","1975"
"NOVIA MIA","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","5","CULTURAL","D_262","1975"
"NATALIA","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","8","RELIGION","D_263","1975"
"OLLANTAY","ENRIQUE DELGADO Y LOS DESTELLOS – LINDA CHIQUILINA","FUNK/SOUL","820","4","EDUCATIVO","D_264","1975"
"WILD SAFARI","BARRABAS – BARRABAS MUSICA CALIENTE","FUNK/SOUL","820","7","RELIGION","D_265","1972"
"TRY AND TRY","BARRABAS – BARRABAS MUSICA CALIENTE","FUNK/SOUL","820","7","EDUCATIVO","D_266","1972"
"ONLY FOR MEN","BARRABAS – BARRABAS MUSICA CALIENTE","FUNK/SOUL","820","4","CULTURAL","D_267","1972"
"NEVER IN THIS WORLD","BARRABAS – BARRABAS MUSICA CALIENTE","FUNK/SOUL","820","5","CULTURAL","D_268","1972"
"WOMAN","BARRABAS – BARRABAS MUSICA CALIENTE","FUNK/SOUL","820","8","SOCIAL","D_269","1972"
"CHEER UP","BARRABAS – BARRABAS MUSICA CALIENTE","FUNK/SOUL","820","8","EDUCATIVO","D_270","1972"
"ROCK AND ROLL EVERYBODY","BARRABAS – BARRABAS MUSICA CALIENTE","FUNK/SOUL","820","9","SOCIAL","D_271","1972"
"CHICCO","BARRABAS – BARRABAS MUSICA CALIENTE","FUNK/SOUL","820","2","AMBIENTAL","D_272","1972"
"WAITING","SANTANA – SANTANA","FUNK/SOUL","388","1","RELIGION","D_273","1969"
"EVIL WAYS","SANTANA – SANTANA","FUNK/SOUL","388","7","CULTURAL","D_274","1969"
"SHADES OF TIME","SANTANA – SANTANA","FUNK/SOUL","388","2","AMBIENTAL","D_275","1969"
"SAVOR","SANTANA – SANTANA","FUNK/SOUL","388","7","ECONOMICO","D_276","1969"
"JINGO","SANTANA – SANTANA","FUNK/SOUL","388","7","ECONOMICO","D_277","1969"
"PERSUASION","SANTANA – SANTANA","FUNK/SOUL","388","8","CULTURAL","D_278","1969"
"TREAT","SANTANA – SANTANA","FUNK/SOUL","388","10","EDUCATIVO","D_279","1969"
"YOU JUST DON'T CARE","SANTANA – SANTANA","FUNK/SOUL","388","10","ECONOMICO","D_280","1969"
"SOUL SACRIFICE","SANTANA – SANTANA","FUNK/SOUL","388","7","ECONOMICO","D_281","1969"
"PIEDAD (LA VACA BLANCA)","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","10","POLITICO","D_282","1972"
"AGUANILE","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","5","SOCIAL","D_283","1972"
"LA BOCINA","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","2","RELIGION","D_284","1972"
"PERFIDIA","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","3","EDUCATIVO","D_285","1972"
"UNA CHICA ENAMORADA","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","8","CULTURAL","D_286","1972"
"EL CERROJO","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","5","EDUCATIVO","D_287","1972"
"CUMBIA MIA","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","9","SOCIAL","D_288","1972"
"FUGALA","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","5","EDUCATIVO","D_289","1972"
"EL BICHITO","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","7","ECONOMICO","D_290","1972"
"VIOLENCIA","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","3","EDUCATIVO","D_291","1972"
"TU COSITA","LOS GIRASOLES – LA BOCINA","FUNK/SOUL","987","5","ECONOMICO","D_292","1972"
"MALAMBO","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","9","POLITICO","D_293","1971"
"LOS BESOS DE ANITA","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","4","AMBIENTAL","D_294","1971"
"EL TIO RENEGON","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","7","AMBIENTAL","D_295","1971"
"MUSICA PARA ENAMORADOS","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","8","EDUCATIVO","D_296","1971"
"EL PESCADOR SOLITARIO","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","7","AMBIENTAL","D_297","1971"
"CIELITO LORETANO","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","9","CULTURAL","D_298","1971"
"LA BOCINA","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","7","ECONOMICO","D_299","1971"
"EL TRIGAL","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","9","ECONOMICO","D_300","1971"
"MARABUNTA","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","5","POLITICO","D_301","1971"
"HAZLA QUE VUELVA","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","10","POLITICO","D_302","1971"
"LA DANZA SERRANA","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","7","AMBIENTAL","D_303","1971"
"EL CAÑONAZO","LOS DIABLOS ROJOS – PASEO TROPICAL","FUNK/SOUL","987","5","POLITICO","D_304","1971"
"EL PELEJITO BAILARIN","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","5","POLITICO","D_305","1975"
"MURAYA","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","7","SOCIAL","D_306","1975"
"EL BRUJO","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","10","EDUCATIVO","D_307","1975"
"SAN JUAN 75","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","7","POLITICO","D_308","1975"
"NOCHE TROPICAL","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","10","POLITICO","D_309","1975"
"BUSCANDO TU AMOR","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","8","ECONOMICO","D_310","1975"
"EL PINOCHITO SALTARIN","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","10","RELIGION","D_311","1975"
"CHICA LINDA","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","10","POLITICO","D_312","1975"
"RITMO ALEGRE","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","3","RELIGION","D_313","1975"
"EL BAGAZO","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","3","SOCIAL","D_314","1975"
"LA TRAGEDIA DE ROSENDO","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","3","EDUCATIVO","D_315","1975"
"REGION ORIENTAL","JUANECO Y SU COMBO – EL BRUJO","FUNK/SOUL","966","7","EDUCATIVO","D_316","1975"
"GET DANCIN = PONTE A BAILAR","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","10","SOCIAL","D_317","1976"
"GET UP AND BOOGIE = BAILA EL BOOGIE","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","4","POLITICO","D_318","1976"
"ES MI VIDA","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","4","POLITICO","D_319","1976"
"LINDA BELLA LINDA","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","3","SOCIAL","D_320","1976"
"ESTO SERA","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","9","SOCIAL","D_321","1976"
"AL RITMO DEL BUMP BUMP","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","8","EDUCATIVO","D_322","1976"
"TU SEXI","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","5","CULTURAL","D_323","1976"
"EL APURADO = THE HUSTLE","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","8","SOCIAL","D_324","1976"
"NUNCA PUEDO DECIR ADIOS = NEVER CAN SAY GOODBYE","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","7","POLITICO","D_325","1976"
"EL TEMA DE ""COCO""","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","6","EDUCATIVO","D_326","1976"
"UN COMERCIAL Y REGRESO = TRAMPOLIN","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","6","SOCIAL","D_327","1976"
"THAT'S THE WAY","OTTO DE ROJAS Y SU ORQUESTA – SUPEREXITOS BAILABLES","FUNK/SOUL","467","9","RELIGION","D_328","1976"
"CONJUNTO ZAMBITO – CHICKEN CHICKEN","VARIOUS – PERU SOUNDS VOL. 1","FUNK/SOUL","900","4","SOCIAL","D_329","2022"
"SONIDO 2000 – NOTA DE COLORES","VARIOUS – PERU SOUNDS VOL. 2","FUNK/SOUL","900","8","SOCIAL","D_330","2022"
"I.R. – TEMA DEL MAU MAU","VARIOUS – PERU SOUNDS VOL. 3","FUNK/SOUL","900","9","SOCIAL","D_331","2022"
"LOS FANTASTICOS – NENA EXOTICA","VARIOUS – PERU SOUNDS VOL. 4","FUNK/SOUL","900","10","SOCIAL","D_332","2022"
"LOS ECOS – CHICHITA","VARIOUS – PERU SOUNDS VOL. 5","FUNK/SOUL","900","7","ECONOMICO","D_333","2022"
"DAVID DANDOY – BRUCELAS MUSIC","VARIOUS – PERU SOUNDS VOL. 6","FUNK/SOUL","900","8","AMBIENTAL","D_334","2022"
"LA MAQUINA – LA MAQUINA","VARIOUS – PERU SOUNDS VOL. 7","FUNK/SOUL","900","10","CULTURAL","D_335","2022"
"MARCO MERRY Y SUS GOLFOS – DESCARGA 71","VARIOUS – PERU SOUNDS VOL. 8","FUNK/SOUL","900","8","CULTURAL","D_336","2022"
"LOS GAVIALES – MELODIA AZUL","VARIOUS – PERU SOUNDS VOL. 9","FUNK/SOUL","900","9","AMBIENTAL","D_337","2022"
"RAFU REY Y SU ORQUESTA – VAMPIROS EN FUGA","VARIOUS – PERU SOUNDS VOL. 10","FUNK/SOUL","900","7","CULTURAL","D_338","2022"
"LOS GALAX – HOMBRE MOSCA","VARIOUS – PERU SOUNDS VOL. 11","FUNK/SOUL","900","3","RELIGION","D_339","2022"
"CONJUNTO BLANCO Y NEGRO – CHICA DE COLOR","VARIOUS – PERU SOUNDS VOL. 12","FUNK/SOUL","900","6","EDUCATIVO","D_340","2022"
"ACAPULCO, DOS DE LA TARDE","THE COPPERS* – ACAPULCO, DOS DE LA TARDE / UNA BELLA HISTORIA","FUNK/SOUL","950","10","RELIGION","D_341","1974"
"UNA BELLA HISTORIA","THE COPPERS* – ACAPULCO, DOS DE LA TARDE / UNA BELLA HISTORIA","FUNK/SOUL","950","2","CULTURAL","D_342","1974"
"LINDA NENA","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","2","RELIGION","D_343","1976"
"LA ENGREIDITA","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","4","RELIGION","D_344","1976"
"TIERRA ADORADA","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","8","SOCIAL","D_345","1976"
"CUMBIA SAMBA","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","9","POLITICO","D_346","1976"
"LINDA DORIS","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","7","ECONOMICO","D_347","1976"
"VEN A MIS BRAZOS","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","8","AMBIENTAL","D_348","1976"
"EL AGUA DEL HIGUERON","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","8","POLITICO","D_349","1976"
"SELVA SELVA","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","8","CULTURAL","D_350","1976"
"HECHIZO VERDE","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","6","CULTURAL","D_351","1976"
"TAMBORES DE LA SELVA","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","9","AMBIENTAL","D_352","1976"
"MANGUITO DE SAL","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","6","ECONOMICO","D_353","1976"
"EL HIPPIE MUCA","JUANECO Y SU COMBO – LINDA NENA","FUNK/SOUL","920","8","EDUCATIVO","D_354","1976"
"BULE BULE","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","10","AMBIENTAL","D_355","1965"
"SHAIN'S A GO GO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","3","AMBIENTAL","D_356","1965"
"FEVER","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","6","CULTURAL","D_357","1965"
"AGENTE SECRETO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","8","SOCIAL","D_358","1965"
"HOY","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","6","AMBIENTAL","D_359","1965"
"EL BAÑO DEL PAJARO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","9","POLITICO","D_360","1965"
"HANG ON SLOOPY","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","8","EDUCATIVO","D_361","1965"
"EL SABOR DE LA MIEL","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","6","EDUCATIVO","D_362","1965"
"VAMOS","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","7","SOCIAL","D_363","1965"
"CIUDAD DE ROMPIENTES","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","9","RELIGION","D_364","1965"
"EL MONSTRUO","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","9","POLITICO","D_365","1965"
"MISIRLOU","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","7","SOCIAL","D_366","1965"
"TENEMOS QUE IRNOS DE AQUI","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","8","RELIGION","D_367","1965"
"ELLA NO ESTA ALLI","LOS SHAIN'S – EL RITMO DE LOS SHAIN'S","FUNK/SOUL","902","9","CULTURAL","D_368","1965"
"BATUSAMBA DISCO (POPURRI)","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","812","3","POLITICO","D_369","1979"
"MICHELLA","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","812","6","ECONOMICO","D_370","1979"
"SAMBA CLUB","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","812","4","AMBIENTAL","D_371","1979"
"KRIOLA","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","812","7","SOCIAL","D_372","1979"
"BLACK COCO","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","812","7","RELIGION","D_373","1979"
"NEGRO LATINO","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","812","8","EDUCATIVO","D_374","1979"
"MIRANTE AHORA","PRAIS AND THE SAMBASOUND – BATUSAMBA DISCO","FUNK/SOUL","812","4","POLITICO","D_375","1979"
"CAMINO PARA MI PUEBLO","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","8","RELIGION","D_376","1975"
"POR LAS CAMPIÑAS","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","3","SOCIAL","D_377","1975"
"CAMPESINO","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","9","ECONOMICO","D_378","1975"
"CONSTESTACION A PAPA","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","9","RELIGION","D_379","1975"
"SI ESTAS CONMIGO","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","1","RELIGION","D_380","1975"
"CHICA PRECIOSA","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","2","SOCIAL","D_381","1975"
"MATANDO LOS CHIVOS","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","10","POLITICO","D_382","1975"
"MARIPOSITA ROJA","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","3","CULTURAL","D_383","1975"
"EL PESCADOR Y LA SIRENA","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","7","ECONOMICO","D_384","1975"
"MI LORITO ENAMORADO","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","10","POLITICO","D_385","1975"
"QUE SOLEDAD","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","7","RELIGION","D_386","1975"
"LOS ARROZALES","LOS DIABLOS ROJOS – SONIDO DIABLO","FUNK/SOUL","834","6","POLITICO","D_387","1975"
"LA FUGA DE TUNEZ","BARETO – BOLETO","FUNK/SOUL","826","9","CULTURAL","D_388","2006"
"BAM BAM","BARETO – BOLETO","FUNK/SOUL","826","7","AMBIENTAL","D_389","2006"
"KINCHA","BARETO – BOLETO","FUNK/SOUL","826","9","ECONOMICO","D_390","2006"
"BEBOP MARLEY","BARETO – BOLETO","FUNK/SOUL","826","5","EDUCATIVO","D_391","2006"
"LA DEL BRAZO","BARETO – BOLETO","FUNK/SOUL","826","9","SOCIAL","D_392","2006"
